corp_code,corp_name,stock_code,avg_revenue_last_3y,total_assets
00307028,경남제약,053950,59698660007.0,166583877165
00307222,YBM넷,057030,60457586859.0,81369397980
00308559,코디,080530,70952550146.3,75477956976
00308896,셀피글로벌,068940,35282445411.0,27979942852
00309460,HB인베스트먼트,440290,17199909351.3,91911537577
00311216,에이치엔에스하이텍,044990,84638377634.3,114249923854
00313649,현대바이오,048410,10794329365.0,67704784931
00317487,티에스넥스젠,043220,24513130309.7,128315130034
00317681,메타바이오메드,059210,82026092287.7,177295082232
00318662,CNT85,056730,49763190579.7,89519620287
00323868,웹케시,053580,78541055698.0,125883322140
00327819,선익시스템,171090,83130169148.0,302897469887
00328191,케이에스피,073010,76853424509.3,105512995900
00329093,코데즈컴바인,047770,40203520285.3,88883574566
00331016,에프앤가이드,064850,29871153154.0,85056694363
00339072,팬스타엔터프라이즈,054300,66332045434.3,99889103873
00340272,에스폴리텍,050760,78613727692.3,111646712259
00346407,크레오에스지,040350,9231481792.3,91503437327
00346610,시지메드텍,056090,36920086451.3,107200266646
00346911,아이톡시,052770,22319526544.7,10650406836
00347716,중앙첨단소재,051980,23864351511.3,124513876013
00348034,액토즈소프트,052790,76022087741.7,371563463278
00348292,한빛소프트,047080,38513357548.0,32786852318
00349060,한스바이오메드,042520,77876156814.3,121715439723
00349811,오션인더블유,052300,10709663110.3,369945245351
00350020,파인디앤씨,049120,55596211433.0,105528908216
00350482,성우테크론,045300,39957547753.7,98675330131
00351375,뉴보텍,060260,46068045282.3,51209695755
00351427,와이즈넛,096250,34853103853.3,57963768348
00351454,더테크놀로지,043090,9720965510.7,43321958576
00351579,비트플래닛,049470,44831792489.0,42025243594
00352064,프리엠스,053160,23423510384.0,60758792706
00353610,이니텍,053350,46122261118.0,118421955767
00353762,키이스트,054780,63304309896.0,71448697174
00355089,토탈소프트,045340,16880646609.3,42769564410
00356389,프럼파스트,035200,19713725278.3,43402243204
00356802,큐렉소,060280,64468042089.7,102583453315
00356839,메디콕스,054180,25927429748.0,81419165352
00357430,쎌바이오텍,049960,51408602016.0,130397880695
00357607,케이피티유,054410,35014264748.3,92347256350
00359076,브리지텍,064480,52013527867.7,67885823870
00359261,빛샘전자,072950,84078060095.3,101256586978
00359395,헬릭스미스,084990,3991734012.7,148889638599
00360674,코위버,056360,73276191211.7,151090414660
00361169,한국전자인증,041460,37983398380.3,81451522650
00362122,나래나노텍,137080,60463981495.3,173431902910
00362201,세운메디칼,100700,62838001388.3,156848128490
00363510,제이케이시냅스,060230,46164767462.3,143468244997
00363927,NE능률,053290,77053948274.7,98502109653
00365457,제이티,089790,59508394103.0,91154573920
00365758,아이앤씨,052860,42348191070.0,51288908215
00365934,코세스,089890,79255379184.0,85940029006
00367385,효성오앤비,097870,30581682508.0,92027278048
00367400,모티브링크,463480,70222292146.3,44033135210
00367482,빛과전자,069540,30795160870.7,81618471451
00367604,SM Life Design,063440,44277015404.7,69502056550
00367695,에이전트AI,060900,21177576966.7,61942699086
00367871,인바이오,352940,34639374129.0,67771221943
00369213,폴라리스AI,039980,64452932561.0,115959879822
00369569,비케이홀딩스,050090,10843629219.7,18906451386
00370006,iMBC,052220,46402207427.7,73752314930
00370200,아이로보틱스,066430,36445126815.3,51246912389
00370255,테크엘,064520,22121241669.3,104152435078
00370918,케이디켐,221980,61228830552.7,131933824881
00371740,디티씨,066670,38530946284.0,168146901131
00372688,티사이언티픽,057680,26160140161.0,163268244478
00373021,테라사이언스,073640,21052847877.3,78502700730
00373447,서린바이오,038070,89896063696.0,101524815567
00373571,스타코링크,060240,17721191244.7,25135818879
00374020,이엘피,063760,24344847381.3,75632478096
00374738,위세아이텍,065370,33515225371.3,71958424244
00377018,기가레인,049080,46903554775.3,91151470613
00378220,버킷스튜디오,066410,19671637738.7,190720457988
00378363,3S,060310,37521245010.7,63790941612
00380429,CMG제약,058820,91734606032.0,303436817189
00384717,비엘팜텍,065170,18617871345.3,36458146420
00384762,파커스,065690,66809057796.3,115027215431
00385336,홈캐스트,064240,78290823424.7,120826883543
00385363,빅텍,065450,66930679252.0,107182765556
00385415,일신바이오,068330,15896124821.3,63939996247
00390408,인크레더블버즈,064090,13609538236.0,99822167362
00390514,이루온,065440,60371350112.0,75451682416
00391197,하이퍼코퍼레이션,065650,48879457159.3,60404547782
00392691,포니링크,064800,76099484403.0,246626823933
00396925,엠로,058970,67084231855.7,102419750769
00397058,엠게임,058630,79570876779.7,148894184748
00397191,팬엔터테인먼트,068050,61273334427.0,121133372014
00400060,이씨에스,067010,90875403299.0,86219173083
00400121,유아이디,069330,56337291880.7,43229983991
00402110,시큐브,131090,13408040989.7,48531987014
00403766,한국첨단소재,062970,14072743997.0,31405699755
00403793,바이브컴퍼니,301300,30255456167.0,88681121141
00404288,아진엑스텍,059120,28581308882.7,45119440348
00405506,삼영에스앤씨,361670,12559593711.3,23215623072
00405959,스타플렉스,115570,84974667052.0,96403198806
00406037,CSA 코스믹,083660,47388848148.7,33217347188
00406727,세진티에스,067770,13331926213.3,48656430876
00407036,선바이오,067370,9465018907.0,61017212304
00407285,아이컴포넌트,059100,33251420752.7,58107241562
00407294,유라클,088340,47301443139.7,40940905783
00407771,듀오백,073190,26116885766.3,22843694713
00407814,CG인바이츠,083790,5484421148.7,260465309673
00408266,유니온바이오메트릭스,203450,51460543458.0,70921949384
00409140,이원컴포텍,088290,49130138731.0,45321896535
00409371,인베니아,079950,33800343291.3,73269252595
00409964,하이텍팜,106190,85744155810.3,140090048772
00411446,큐에스아이,066310,20916609469.7,88543626839
00411808,제이오,418550,88340976939.7,222582339653
00415327,중앙백신,072020,42253212759.0,123275416493
00415707,엔텔스,069410,48782584447.7,64784573765
00415868,펩트론,087010,4102690182.7,168892733798
00416414,넥스턴앤롤코리아,089140,32120443339.7,233036978483
00417167,풍원정밀,371950,45743795603.7,96349143591
00418379,자연과환경,043910,61437206675.3,142032820174
00425254,나우코스,257990,52373689373.7,38326409371
00426068,엑시온그룹,069920,4982400848.3,58139774712
00426828,케이웨더,068100,16456830289.0,18828687407
00435969,인피니트헬스케어,071200,89247606933.7,221819005283
00439965,나노신소재,121600,83616542690.3,442216673054
00440712,리튬포어스,073570,17172960834.0,55269506697
00441447,케이씨티,089150,14127517856.3,53180330601
00441650,케이씨에스,115500,39651197453.3,23875109727
00442048,아바텍,149950,77833627417.3,154668851604
00442455,코스나인,082660,6451268470.3,0
00442561,에프알텍,073540,24404405287.0,70810340644
00442826,대봉엘에스,078140,91693373147.0,238712852479
00442905,디에스엠,104040,31111438453.3,89153712111
00446901,코칩,126730,35011304440.0,62000491221
00447502,바이오톡스텍,086040,37088068515.0,136191119441
00447928,네오티스,085910,62983803952.3,125131926926
00450995,대모,317850,46843121549.0,61505769423
00453442,해성에어로보틱스,059270,14178357258.7,42232172011
00453929,메디포스트,078160,67833547797.0,414287470351
00454399,이상네트웍스,080010,83349706774.0,190189538570
00455875,와토스코리아,079000,18228777182.0,83738564811
00463342,폴라리스AI파마,041910,61951178543.0,134450888144
00466428,아미노로직스,074430,21671274659.3,56789152176
00470829,인티큐브,070590,49871037337.3,32746244329
00475718,이엠앤아이,083470,29566989220.3,23551729353
00475976,인콘,083640,55951873260.3,82656432648
00475985,시너지이노베이션,048870,86786358147.0,314061064693
00476036,에프엔에스테크,083500,65002677613.7,128914258277
00479705,케스피온,079190,50210100121.7,35202573615
00479787,인텍플러스,064290,92504130781.7,124069358316
00490090,이지케어텍,099750,77734148821.3,46805991803
00490179,플랜티넷,075130,33709478767.7,96391325593
00491053,진바이오텍,086060,81731548925.7,71988255076
00491415,인포바인,115310,22959396450.0,123980357874
00491938,GH신소재,130500,84456317159.3,192235684629
00492353,파이오링크,170790,59650254035.3,93771942946
00492894,젬백스,082270,70234800309.7,150746205875
00493185,제이스로보틱스,090470,93220003899.0,185504546530
00493325,에이엘티,172670,42891273890.7,217658863148
00494218,엘엠에스,073110,80791403513.7,155849233855
00494476,이녹스,088390,66094853740.0,317853642264
00494546,오비고,352910,13499556813.3,39819285885
00495086,픽셀플러스,087600,55671612758.7,106294255002
00495633,율촌,146060,75533691655.0,93687378277
00516246,알에프세미,096610,28235580088.7,22795374986
00519252,THE E&M,089230,33499934790.0,77617082470
00520610,씨큐브,101240,52510989615.7,115788976905
00523176,광동헬스바이오,086220,69858454791.0,52939151421
00525864,피앤씨테크,237750,25805214881.3,97287389508
00526678,동방선기,099410,29294600474.3,60097697605
00526696,웨이브일렉트로,095270,71734732489.3,86910815427
00526872,이수앱지스,086890,51911276898.3,160230929391
00527002,화인써키트,127980,73171513899.0,107758180207
00527464,에이치시티,072990,78543619317.7,167196410906
00527491,하이드로리튬,101670,13272443536.3,94025288164
00528515,한라IMS,092460,93939112476.3,208282147637
00529815,오디텍,080520,37451795918.0,136975371245
00530121,디에스케이,109740,47457575247.3,166375589033
00530413,더코디,224060,24613414287.0,94050804397
00530556,예스티,122640,85299042378.3,204386587125
00531078,유비온,084440,32191808099.3,23149050125
00531829,엠아이텍,179290,52120233374.0,118527983570
00531865,유니테크노,241690,96466670899.0,231054729210
00532059,그린생명과학,114450,27911674493.0,44971612512
00532129,영림원소프트랩,060850,58531007466.3,68405556822
00532855,한국유니온제약,080720,58580811828.7,74900211471
00533191,비보존 제약,082800,70161148554.0,184449007617
00533924,이브이첨단소재,131400,67595911730.7,144037746838
00534701,세아메카닉스,396300,88917993593.3,131950373014
00535375,키네마스터,139670,16512465818.0,24264680953
00536329,노블엠앤비,106520,8062287372.7,21403212700
00536888,케이알엠,093640,12163029470.3,146570510759
00537221,인바이츠바이오코아,216400,23107079045.0,98007229408
00537337,앤씨앤,092600,81325531651.0,99273383375
00537832,푸른기술,094940,33714489865.7,47452317161
00540429,휴림로봇,090710,90412502971.3,334935432412
00540571,엘디티,096870,10228629152.0,17247100520
00541437,코렌텍,104540,83207440095.0,186272303845
00542074,나노캠텍,091970,49358424838.7,73006055556
00542898,케이이엠텍,106080,13146380915.3,56117197680
00543107,오킨스전자,080580,62568750921.7,87124140122
00543204,아이오케이이엔엠,078860,21898342164.0,98265952627
00544577,브이엠,089970,79223740383.0,165703586111
00545929,제넥신,095700,7832798297.3,345041837007
00547510,툴젠,199800,912611357.3,75478506407
