corp_code,corp_name,stock_code,year,avg_revenue_last_3y,total_assets,revenue,operating_income,net_income,total_assets_statement,total_liabilities,total_equity,created_at
00120289,제이에스티나,026040,2024,75892303260.0,50660994202,74433968530.0,-2602941211.0,-1495491944.0,50660994202.0,10324689099.0,40336305103.0,2026-05-26
00120906,에스아이리소스,065420,2022,7432432303.3,14882121796,4717220355.0,-2274037825.0,-963295258.0,20049909299.0,2390729600.0,17659179699.0,2026-05-26
00120906,에스아이리소스,065420,2023,7432432303.3,14882121796,7041912337.0,-8594306168.0,-9274263535.0,13402796881.0,3612351764.0,9790445117.0,2026-05-26
00120906,에스아이리소스,065420,2024,7432432303.3,14882121796,10538164218.0,-3692024753.0,-2098858043.0,14882121796.0,7258880771.0,7623241025.0,2026-05-26
00122205,졸스,018700,2022,62682520452.3,46388102294,58667142079.0,-5160401668.0,-25250348276.0,88928699051.0,30030710404.0,58897988647.0,2026-05-26
00122205,졸스,018700,2023,62682520452.3,46388102294,61503408544.0,-5691954909.0,-15962045694.0,68642104730.0,25950633333.0,42691471397.0,2026-05-26
00122205,졸스,018700,2024,62682520452.3,46388102294,67877010734.0,-5731060021.0,-13492429479.0,46388102294.0,17426835962.0,28961266332.0,2026-05-26
00124276,부스타,008470,2022,99704185533.3,105007314176,91869520499.0,-3307478717.0,-1235995462.0,96234087568.0,17520833026.0,78713254542.0,2026-05-26
00124276,부스타,008470,2023,99704185533.3,105007314176,101060228361.0,1540087069.0,1448541830.0,94386509294.0,17030987718.0,77355521576.0,2026-05-26
00124276,부스타,008470,2024,99704185533.3,105007314176,106182807740.0,231513742.0,1690244491.0,105007314176.0,26379685572.0,78627628604.0,2026-05-26
00125488,삼륭물산,014970,2022,90203281405.0,98958483256,90280280019.0,-1171753276.0,-2621835777.0,112471091464.0,52856987862.0,59614103602.0,2026-05-26
00125488,삼륭물산,014970,2023,90203281405.0,98958483256,86280033374.0,1178662628.0,2026435971.0,104708757325.0,44514987516.0,60193769809.0,2026-05-26
00125488,삼륭물산,014970,2024,90203281405.0,98958483256,94049530822.0,5786457572.0,-5600075706.0,98958483256.0,47010456513.0,51948026743.0,2026-05-26
00125664,삼미금속,012210,2022,74678571754.3,172747485700,70751586238.0,-1486505674.0,-1118384891.0,149501059195.0,98848018860.0,50653040335.0,2026-05-26
00125664,삼미금속,012210,2023,74678571754.3,172747485700,76842784518.0,5964405335.0,939964950.0,152186319180.0,95247237951.0,56939081229.0,2026-05-26
00125664,삼미금속,012210,2024,74678571754.3,172747485700,76441344507.0,4454162901.0,3464735457.0,172747485700.0,98926579415.0,73820906285.0,2026-05-26
00125725,디모아,016670,2022,27873677401.7,94208365335,25643172347.0,2359937625.0,-18866267340.0,85171321148.0,32689197476.0,52482123672.0,2026-05-26
00125725,디모아,016670,2023,27873677401.7,94208365335,31352678402.0,2912404483.0,-2498774824.0,80865034754.0,30843294386.0,50021740368.0,2026-05-26
00125725,디모아,016670,2024,27873677401.7,94208365335,26625181456.0,2141259987.0,3466340906.0,94208365335.0,32026946073.0,62181419262.0,2026-05-26
00126788,삼아제약,009300,2022,91497183768.3,248733842277,81699539725.0,18253183867.0,11911612530.0,203197944143.0,22580009449.0,180617934694.0,2026-05-26
00126788,삼아제약,009300,2023,91497183768.3,248733842277,97211286212.0,23500211536.0,21373935570.0,231307913073.0,30837700577.0,200470212496.0,2026-05-26
00126788,삼아제약,009300,2024,91497183768.3,248733842277,95580725368.0,24466466167.0,22079574395.0,248733842277.0,28758074694.0,219975767583.0,2026-05-26
00127909,삼일,032280,2022,98918973746.7,108347600270,91979315853.0,1796436109.0,1232107745.0,101557008330.0,41462750693.0,60094257637.0,2026-05-26
00127909,삼일,032280,2023,98918973746.7,108347600270,99668556013.0,1721681269.0,2828019091.0,107090815706.0,44443699363.0,62647116343.0,2026-05-26
00127909,삼일,032280,2024,98918973746.7,108347600270,105109049374.0,2474034253.0,1236765459.0,108347600270.0,44950311866.0,63397288404.0,2026-05-26
00127936,삼일기업공사,002290,2022,84970355609.0,86065246337,63621775713.0,2165696619.0,2494624571.0,73922641919.0,10963539066.0,62959102853.0,2026-05-26
00127936,삼일기업공사,002290,2023,84970355609.0,86065246337,78639206759.0,3104213935.0,3839135431.0,76897352397.0,11649114113.0,65248238284.0,2026-05-26
00127936,삼일기업공사,002290,2024,84970355609.0,86065246337,112650084355.0,5653268035.0,5844472345.0,86065246337.0,17142535708.0,68922710629.0,2026-05-26
00129615,상보,027580,2022,62465422703.7,105420391271,67412484219.0,2541236225.0,8786646050.0,112273108511.0,46593967271.0,65679141240.0,2026-05-26
