통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","유형자산증가율","%","원자료","","","","","","5.24","10.66","10.10","-2.92","12.32","4.17","2.48","7.81"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","유동자산증가율","%","원자료","","","","","","8.06","1.15","-1.71","1.73","20.38","8.64","7.28","6.32"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","재고자산증가율","%","원자료","","","","","","-0.35","1.56","4.26","5.10","11.87","10.83","5.07","2.96"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","자기자본증가율","%","원자료","","","","","","20.91","5.66","-1.87","-1.17","27.74","12.77","1.35","4.91"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","중기업","매출액증가율","%","원자료","","","","","","4.04","-7.46","-2.42","2.19","17.36","8.75","1.86","1.19"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","총자산증가율","%","원자료","","","","","","16.32","12.31","11.90","11.42","15.11","9.87","5.67","4.19"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","유형자산증가율","%","원자료","","","","","","16.92","13.86","11.01","11.38","14.58","8.99","6.36","3.66"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","유동자산증가율","%","원자료","","","","","","15.12","9.05","14.16","10.98","17.66","8.65","4.27","4.11"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","재고자산증가율","%","원자료","","","","","","8.10","14.96","16.00","9.83","14.21","12.61","8.22","0.86"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","자기자본증가율","%","원자료","","","","","","13.97","6.48","4.19","4.80","13.73","8.37","4.00","2.66"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A01 농업","소기업","매출액증가율","%","원자료","","","","","","13.75","8.08","10.60","15.29","20.71","14.69","6.84","7.07"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","총자산증가율","%","원자료","11.62","2.05","8.26","1.29","8.62","7.41","7.32","0.57","5.28","3.37","45.04","7.63","1.06"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","유형자산증가율","%","원자료","11.54","5.14","5.87","5.16","0.24","5.82","5.49","2.14","-9.12","-0.74","-0.32","10.58","0.20"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","유동자산증가율","%","원자료","12.46","-7.38","11.04","2.12","21.84","-16.41","14.18","-3.76","15.94","8.29","21.89","7.45","1.11"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","재고자산증가율","%","원자료","11.68","-0.63","23.76","-9.41","-3.24","9.40","33.68","-0.94","5.40","-0.10","27.54","1.61","3.55"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","자기자본증가율","%","원자료","13.06","2.48","-3.22","1.88","6.54","9.16","5.31","-4.36","8.26","12.54","73.96","5.80","3.30"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","종합","매출액증가율","%","원자료","10.35","-11.54","-4.07","-1.04","6.67","14.26","-1.68","0.39","-8.88","10.84","21.60","2.82","7.59"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","대기업_중견","총자산증가율","%","원자료","","","","","","7.66","4.27","0.46","2.58","0.34","84.77","-0.15","1.41"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","대기업_중견","유형자산증가율","%","원자료","","","","","","1.69","-1.37","4.99","-27.50","-11.41","-12.10","2.15","-3.10"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","대기업_중견","유동자산증가율","%","원자료","","","","","","-40.77","25.41","-14.60","27.93","9.22","43.61","-0.30","-0.73"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","대기업_중견","재고자산증가율","%","원자료","","","","","","21.15","43.67","-3.66","-10.99","7.48","62.61","8.71","-5.57"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","대기업_중견","자기자본증가율","%","원자료","","","","","","8.73","5.96","-5.92","7.26","7.36","116.76","-2.29","-9.26"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","대기업_중견","매출액증가율","%","원자료","","","","","","12.23","-4.18","4.19","-21.38","2.61","41.12","2.17","2.93"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중소기업","총자산증가율","%","원자료","11.60","7.19","13.73","1.64","4.58","7.51","10.65","0.68","8.19","6.06","7.03","9.45","0.76"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중소기업","유형자산증가율","%","원자료","22.79","8.41","5.31","7.19","4.67","9.98","11.64","-0.40","6.16","4.85","5.54","12.18","0.12"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중소기업","유동자산증가율","%","원자료","4.16","-0.49","22.50","-0.90","5.63","6.37","8.52","2.84","9.97","7.74","9.49","8.80","1.46"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중소기업","재고자산증가율","%","원자료","22.05","1.06","55.22","-9.53","-4.32","5.06","28.59","0.79","13.76","-3.19","11.34","0.63","4.91"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중소기업","자기자본증가율","%","원자료","7.80","-1.48","-12.50","10.14","4.74","10.03","4.19","-1.26","9.16","20.52","7.15","9.12","7.63"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중소기업","매출액증가율","%","원자료","0.54","-7.30","-3.53","3.38","-3.24","15.12","0.94","-3.71","3.67","16.98","8.46","2.86","8.34"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중기업","총자산증가율","%","원자료","","","","","","0.71","5.97","-7.19","3.91","5.00","7.62","15.03","6.84"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중기업","유형자산증가율","%","원자료","","","","","","8.74","16.39","-13.09","0.29","2.67","3.81","46.84","1.38"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중기업","유동자산증가율","%","원자료","","","","","","-3.64","-2.25","-4.69","7.89","7.94","12.73","2.29","14.96"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중기업","재고자산증가율","%","원자료","","","","","","-1.50","23.18","-13.24","28.98","-2.41","20.24","-15.18","8.96"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중기업","자기자본증가율","%","원자료","","","","","","-1.54","-11.83","-1.14","-1.55","21.22","6.56","10.91","8.33"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","중기업","매출액증가율","%","원자료","","","","","","7.07","-1.97","-5.25","-6.14","16.36","7.52","3.18","5.08"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","소기업","총자산증가율","%","원자료","","","","","","11.27","13.55","5.22","9.64","6.65","6.72","6.45","-2.87"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","소기업","유형자산증가율","%","원자료","","","","","","10.36","10.05","3.92","7.78","5.63","6.14","1.11","-0.51"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","소기업","유동자산증가율","%","원자료","","","","","","11.76","15.21","6.87","10.76","7.65","7.89","12.45","-5.45"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","소기업","재고자산증가율","%","원자료","","","","","","7.14","31.05","6.81","9.16","-3.54","6.97","9.95","3.14"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","소기업","자기자본증가율","%","원자료","","","","","","19.87","17.07","-1.33","13.74","19.90","7.65","7.61","7.07"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","A03 어업","소기업","매출액증가율","%","원자료","","","","","","21.96","3.85","-2.28","10.69","17.61","9.32","2.53","11.95"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","종합","총자산증가율","%","원자료","-2.67","3.22","-9.19","-10.16","-0.24","-10.07","-1.97","-0.22","-3.30","5.64","-0.08","-0.17","11.16"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","종합","유형자산증가율","%","원자료","17.25","-0.44","-0.40","5.24","-6.56","-11.72","3.71","5.30","11.08","4.44","14.53","75.85","13.06"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","종합","유동자산증가율","%","원자료","-67.53","23.71","-13.68","30.01","-7.93","4.66","-1.55","0.34","15.48","-11.43","9.95","-8.77","25.37"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","종합","재고자산증가율","%","원자료","-92.61","-24.03","1.44","20.89","-5.92","13.91","23.47","15.58","10.56","7.23","7.97","-0.58","0.04"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","종합","자기자본증가율","%","원자료","3.58","2.58","-20.44","-43.01","-4.21","-34.42","-28.17","-32.55","-195.94","14.97","34.32","24.25","86.30"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","종합","매출액증가율","%","원자료","-6.89","6.38","-4.99","7.05","-3.83","-4.59","-8.05","-4.86","-5.49","1.82","13.75","2.39","8.81"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","대기업_중견","총자산증가율","%","원자료","","","","","","5.61","4.75","-1.90","2.98","-6.75","0.71","2.73","2.87"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","대기업_중견","유형자산증가율","%","원자료","","","","","","0.35","3.19","0.20","-5.33","-1.10","10.48","-9.29","-4.04"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","대기업_중견","유동자산증가율","%","원자료","","","","","","26.18","8.06","-2.58","8.95","-15.40","-11.93","8.43","8.47"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","대기업_중견","재고자산증가율","%","원자료","","","","","","42.88","84.80","-1.89","5.85","13.45","1.08","2.53","-3.42"
"5.1.1.1. 성장성 지표(제11차 한국표준산업분류, 2009~)","B 광업","대기업_중견","자기자본증가율","%","원자료","","","","","","15.20","16.36","2.21","18.21","-4.82","-1.98","1.94","0.81"
