"참깨",68.2,128.8,101.3,277.8,117.3,294.7,90.1,224.3,90.4,225.2
"들깨",94.1,438.6,103.1,643.1,115.5,693.5,115.9,611.3,106.5,536.8
"땅콩",100.5,42,112.7,54.2,113.1,52.3,97,44.7,86.2,50.7
"기호작물",98.3,60.9,86.6,53.6,86.7,53.7,101.3,62.8,89.2,55.3
"차",98.3,60.9,86.6,53.6,86.7,53.7,101.3,62.8,89.2,55.3
"약용작물",95,734.3,94.3,723,94.4,679.1,88.6,1028.2,87,1098.1
"감초",97.2,6.5,100.6,11.3,111,7.1,112,8.2,112.1,9.4
"구기자",94.9,16.6,115.7,20.1,116.6,16.1,112.7,24.8,113.6,32.3
"복분자",90.3,86,92.3,87.8,97.1,97.4,97.1,195.4,97.6,215.1
"길경",90.6,96.7,100.6,105,99.5,92.9,96.3,109.3,82.1,89.5
"당귀",99.1,18.4,98.7,18.4,105.7,18.7,104.1,23.6,99.8,24.2
"맥문동",-,2.1,-,2.3,-,-,-,-,-,-
"방풍",100.6,15.4,98.5,15.1,96.9,14.9,96.9,26.3,96.9,28.1
"마(산약)",94.7,89.1,98.1,92.3,97.1,90.8,94.8,263.2,94.1,283.9
"율무(의이인)",96.2,13.3,94.6,13.1,88.9,13.7,105.5,10.2,119.5,16.6
"오미자",97.4,261.4,91.7,246.1,90.4,222.3,75,264.4,73.8,289.6
"작약",77,30,78.1,28.8,85.7,28.7,82.7,25.9,88.6,26.6
"지황",117.6,35.2,64.4,17,64.2,16.2,72.8,14.9,84.1,27.5
"천궁",99.8,17.2,101.5,17.4,86.6,12.4,86.1,16.7,91.3,18.5
"하수오",-,2.7,-,2.6,-,-,-,-,-,-
"황기",97,13.5,101.9,14.2,86.9,11.7,82.8,11.4,84.5,15.2
"천마",101.9,30.3,105.4,31.3,112.8,36,103.5,33.9,96,21.5
"화훼류",98.7,523.5,98.3,535,99.7,561.6,97,530.3,98.9,534.4
"절화류",96.3,169.9,95.7,174,95.9,183.8,95.6,184.5,98.5,188.9
"분화류",94.6,193.5,98,207.7,101.2,220.8,100,211.5,100,212.4
"화목류",119.6,34.2,118.9,34.4,117.2,33.8,112.2,32.2,123.1,32.5
"관상수",110.4,34.2,111.4,34.6,112.8,35,105.8,33.7,106.3,33.5
"종자류",101.8,6.1,103.6,5.6,103.3,5.3,101.5,4.3,129.2,4.5
"초화류",101.8,85.5,92.3,78.7,92.7,82.9,84.2,64.1,84,62.7
"버섯",103.5,400.8,87.5,418,86.6,421.9,93.5,472,92.1,525.6
"양송이",119,142.3,53.8,77.8,46.2,65.5,46.4,61.1,46.2,59.6
"느타리",97.2,100.7,100.1,125.9,106.2,134.5,125.2,199.3,123.5,260.3
"영지",92,6.4,119.3,8.3,119.8,13.8,117,8.4,114.8,4.5
"팽이",92.2,42.3,95.4,50.4,93.5,50.6,93.4,53.5,93.4,53.7
"새송이",99.2,109.1,103.6,155.5,103.5,157.5,109.8,149.7,107,147.5
"전매작물",109.3,893.5,96.5,784.6,100.9,842.7,100.6,865.3,83.5,628.1
"연초",89.4,74.4,92.6,80.2,83.4,71.7,72.1,65.5,67.9,64.5
"인삼",111.6,819.1,97,704.4,102.8,771,103.8,799.8,85.3,563.7
"볏짚",93.3,280.5,104.9,310.7,104.1,349.6,95.2,349.1,92.7,344.2
"축잠업",99,20365.9,101.4,24597.6,102.9,25409.3,99.1,24233.8,99.9,24065.3
"축산업",99,20347.2,101.5,24579.7,102.9,25391.3,99.2,24218.5,100,24045.9
"가축",99.7,16268.9,102.3,19451.3,102.1,20056.4,97.1,18508.6,97.6,18285.8
"한육우",98.6,5992.2,106.1,7236.9,108.7,6334.1,93.4,4699.1,91.8,4975.5
