통계표,업종코드,기업규모,계정항목,단위,변환,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","전산업","소기업","순운전자본대총자본","%","원자료","","","","","","14.39","14.80","16.26","17.04","17.98","17.20","14.98","14.35"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","자기자본비율","%","원자료","40.52","37.19","38.19","40.79","42.75","43.50","42.53","39.35","37.64","37.89","37.72","36.60","36.39"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유동비율","%","원자료","98.06","93.47","92.12","99.73","106.41","108.83","107.12","100.01","101.51","103.15","104.53","102.13","101.48"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","당좌비율","%","원자료","59.26","54.11","57.01","63.94","70.17","74.74","71.80","65.94","67.43","69.32","68.41","67.23","67.99"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","현금비율","%","원자료","10.78","9.99","12.67","15.88","18.12","18.64","15.13","12.83","15.57","17.00","14.77","13.95","15.42"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","비유동비율","%","원자료","154.30","167.93","166.55","159.11","150.01","147.65","154.13","166.28","172.89","169.33","169.95","175.87","175.70"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","비유동장기적합률","%","원자료","101.20","104.38","105.15","100.15","96.74","95.68","96.63","99.99","99.21","98.32","97.63","98.86","99.18"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","부채비율","%","원자료","146.82","168.88","161.88","145.17","133.92","129.86","135.11","154.11","165.68","163.91","165.15","173.23","174.82"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","유동부채비율","%","원자료","94.35","108.01","103.49","86.29","78.86","75.54","75.60","87.82","91.41","91.69","91.06","95.34","97.67"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","비유동부채비율","%","원자료","52.47","60.87","58.39","58.88","55.06","54.32","59.51","66.29","74.27","72.22","74.08","77.90","77.15"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","차입금의존도","%","원자료","34.91","37.37","42.94","42.75","41.47","41.79","43.61","46.22","47.66","47.70","47.60","48.26","48.65"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","차입금대매출액","%","원자료","42.72","47.82","53.50","57.01","61.75","62.72","70.06","76.77","79.50","75.88","74.58","78.40","78.62"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","매출채권대매입채무","%","원자료","89.52","86.63","104.09","105.24","106.76","126.70","119.85","120.13","115.76","129.06","119.80","117.33","126.23"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","종합","순운전자본대총자본","%","원자료","-0.74","-2.62","-3.11","-0.10","2.16","2.90","2.29","0.00","0.52","1.09","1.56","0.74","0.53"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","자기자본비율","%","원자료","","","","","","47.25","44.39","41.48","43.18","45.63","48.14","46.71","46.44"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","유동비율","%","원자료","","","","","","75.73","72.08","63.03","72.84","77.37","87.96","82.54","77.22"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","당좌비율","%","원자료","","","","","","50.06","45.18","35.78","42.88","41.84","49.16","43.22","38.34"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","현금비율","%","원자료","","","","","","8.28","3.67","5.21","8.12","9.21","10.96","10.85","9.71"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","비유동비율","%","원자료","","","","","","148.65","163.69","173.36","156.95","147.27","132.75","134.38","140.60"
"5.1.3.1. 자산/자본 지표(제11차 한국표준산업분류, 2009~)","A01 농업","대기업_중견","비유동장기적합률","%","원자료","","","","","","115.71","117.06","129.71","121.54","116.65","108.38","114.35","118.60"
